Plik,Kolory,Rezystancja
resistor (10150).jpg,BLACK-BLACK-RED,BRAK
resistor (10151).jpg,,BRAK
resistor (10152).jpg,RED-VIOLET,BRAK
resistor (10153).jpg,BLACK-BROWN-RED,100
resistor (10154).jpg,RED-VIOLET,BRAK
resistor (10155).jpg,RED-YELLOW,BRAK
resistor (10156).jpg,WHITE-RED-VIOLET,920000000
resistor (10157).jpg,RED-VIOLET-BROWN,270
resistor (10158).jpg,RED-VIOLET-BROWN,270
resistor (10159).jpg,,BRAK
resistor (1016).jpg,BROWN-RED-GREEN-BROWN-BLACK,1200000
resistor (10160).jpg,YELLOW-BROWN-VIOLET-RED-GRAY,410000000
resistor (10161).jpg,BLACK-RED-ORANGE-BLACK,2000
resistor (10162).jpg,VIOLET-RED-GRAY,7200000000
resistor (10163).jpg,YELLOW-VIOLET-RED-GRAY,4700
resistor (10164).jpg,YELLOW-VIOLET-RED-GRAY,4700
resistor (10165).jpg,BLACK-RED-BLACK,2
resistor (10166).jpg,BROWN-RED,BRAK
resistor (10167).jpg,BLACK-RED-BROWN-BROWN,20
resistor (10168).jpg,YELLOW-VIOLET-RED-GRAY,4700
resistor (10169).jpg,BLACK-RED,BRAK
resistor (1017).jpg,BROWN-BLACK-BROWN-GREEN-BLACK,100
resistor (10170).jpg,YELLOW-VIOLET-RED-BROWN-GRAY,4700
resistor (10171).jpg,BLACK-RED-VIOLET-YELLOW,20000000
resistor (10172).jpg,BROWN-ORANGE-VIOLET-RED-BROWN,130000000
resistor (10173).jpg,BROWN-YELLOW-BROWN-VIOLET-ORANGE,140
resistor (10174).jpg,BROWN-YELLOW-BROWN-VIOLET-RED,140
resistor (10175).jpg,BLACK-GRAY-RED-BROWN-ORANGE,800
resistor (10176).jpg,YELLOW-VIOLET-RED-GRAY,4700
resistor (10177).jpg,ORANGE-VIOLET-RED-BROWN,3700
resistor (10178).jpg,BLACK-WHITE-WHITE-WHITE-VIOLET,9000000000
resistor (10179).jpg,VIOLET-RED-GRAY,7200000000
resistor (1018).jpg,ORANGE-BROWN-BLACK-BROWN-BLACK,31
resistor (10180).jpg,YELLOW-BROWN-VIOLET-RED,410000000
resistor (10181).jpg,GRAY-YELLOW-VIOLET-RED,840000000
resistor (10182).jpg,YELLOW-VIOLET-RED-GRAY,4700
resistor (10183).jpg,BLACK-GRAY-GRAY-GRAY-BROWN,800000000
resistor (10184).jpg,VIOLET-RED-GRAY,7200000000
resistor (10185).jpg,BLACK-VIOLET-BROWN-ORANGE-RED,70
resistor (10186).jpg,YELLOW-VIOLET-RED,4700
resistor (10187).jpg,BLACK-GRAY-GRAY-BROWN-RED,800000000
resistor (10188).jpg,YELLOW-BROWN-VIOLET-RED-GRAY,410000000
resistor (10189).jpg,BLACK-RED-BROWN-ORANGE,20
resistor (1019).jpg,BROWN-RED,BRAK
resistor (10190).jpg,WHITE-YELLOW-VIOLET-RED,940000000
resistor (10191).jpg,BROWN-BROWN-RED,1100
resistor (10192).jpg,VIOLET-RED-BROWN-GRAY-GRAY,720
resistor (10193).jpg,BLACK-BROWN-RED-BROWN-BLACK,100
resistor (10194).jpg,BROWN-YELLOW-VIOLET-RED-GRAY,140000000
resistor (10195).jpg,YELLOW-VIOLET-RED,4700
resistor (10196).jpg,BLACK-BROWN-RED-VIOLET-YELLOW,100
resistor (10197).jpg,VIOLET-RED-GRAY,7200000000
resistor (10198).jpg,YELLOW-VIOLET-RED-GRAY-GRAY,4700
resistor (10199).jpg,BLACK-YELLOW-VIOLET-RED-BLACK,40000000
resistor (102).jpg,RED-RED,BRAK
resistor (1020).jpg,BLACK-BLACK-GRAY-ORANGE-BLUE,BRAK
resistor (10200).jpg,YELLOW-VIOLET-RED,4700
resistor (10201).jpg,BLACK-YELLOW-VIOLET-RED-BLACK,40000000
resistor (10202).jpg,BROWN-YELLOW-VIOLET-RED,140000000
resistor (10203).jpg,BLACK-YELLOW-VIOLET-RED-GRAY,40000000
resistor (10204).jpg,VIOLET-RED-GRAY,7200000000
resistor (10205).jpg,GRAY-GRAY-GRAY-GRAY-GRAY,8800000000
resistor (10206).jpg,BLACK-RED,BRAK
resistor (10207).jpg,GRAY-RED-VIOLET-GRAY,820000000
resistor (10208).jpg,RED-BROWN-GRAY,2100000000
resistor (10209).jpg,GRAY-RED-VIOLET-YELLOW-BROWN,820000000
resistor (1021).jpg,BLUE-BLACK,BRAK
resistor (10210).jpg,RED-BROWN,BRAK
resistor (10211).jpg,RED-YELLOW,BRAK
resistor (10212).jpg,YELLOW-BLUE-RED,4600
resistor (10213).jpg,BLUE-RED-BROWN,620
resistor (10214).jpg,GRAY-RED-VIOLET-BLUE-YELLOW,820000000
resistor (10215).jpg,GRAY-GRAY-RED-BLUE-YELLOW,8800
resistor (10216).jpg,BLUE-ORANGE-RED,6300
resistor (10217).jpg,WHITE-YELLOW-RED-BROWN,9400
resistor (10218).jpg,GRAY-GRAY-GRAY-RED-VIOLET,8800000000
resistor (10219).jpg,GRAY-YELLOW-RED-GRAY,8400
resistor (1022).jpg,BLUE-ORANGE-GRAY-BLACK,6300000000
resistor (10220).jpg,GRAY-GRAY-BROWN-RED-VIOLET,880
resistor (10221).jpg,YELLOW-BROWN-VIOLET-RED,410000000
resistor (10222).jpg,RED-YELLOW-BROWN,240
resistor (10223).jpg,ORANGE-RED,BRAK
resistor (10224).jpg,GRAY-RED-YELLOW,820000
resistor (10225).jpg,RED-VIOLET-BROWN,270
resistor (10226).jpg,GRAY-RED-VIOLET-YELLOW,820000000
resistor (10227).jpg,RED-BROWN-BROWN,210
resistor (10228).jpg,RED-YELLOW,BRAK
resistor (10229).jpg,BROWN-BLACK-RED-BROWN,1000
resistor (1023).jpg,BLACK-BLACK-ORANGE-BLACK-BLACK,BRAK
resistor (10230).jpg,GRAY-GRAY-RED-YELLOW,8800
resistor (10231).jpg,GRAY-GRAY-RED-GRAY-VIOLET,8800
resistor (10232).jpg,RED-VIOLET-BROWN,270
resistor (10233).jpg,RED-VIOLET-BROWN,270
resistor (10234).jpg,RED-VIOLET-YELLOW,270000
resistor (10235).jpg,GRAY-RED-VIOLET,820000000
resistor (10236).jpg,RED,BRAK
resistor (10237).jpg,GRAY-GRAY-GRAY-RED-VIOLET,8800000000
resistor (10238).jpg,GRAY-GRAY-GRAY-RED-GRAY,8800000000
resistor (10239).jpg,GRAY-GRAY-RED-GRAY-VIOLET,8800
resistor (1024).jpg,BLUE,BRAK
resistor (10240).jpg,GRAY-GRAY-GRAY-RED-VIOLET,8800000000
resistor (10241).jpg,RED-VIOLET,BRAK
resistor (10242).jpg,RED-VIOLET-YELLOW,270000
resistor (10243).jpg,RED-VIOLET-YELLOW-GRAY-BROWN,270000
resistor (10244).jpg,GRAY-GRAY-RED-VIOLET-YELLOW,8800
resistor (10245).jpg,WHITE-WHITE-WHITE-RED-WHITE,99000000000
resistor (10246).jpg,YELLOW-RED,BRAK
resistor (10247).jpg,GRAY-GRAY-GRAY-RED-VIOLET,8800000000
resistor (10248).jpg,RED,BRAK
resistor (10249).jpg,GRAY-GRAY-RED-GRAY-VIOLET,8800
resistor (1025).jpg,WHITE-BLUE-BLACK-BROWN,96
resistor (10250).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10251).jpg,RED-BROWN-ORANGE-BROWN-ORANGE,21000
resistor (10252).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (10253).jpg,RED-RED-GRAY,2200000000
resistor (10254).jpg,BROWN-RED-BROWN-BROWN-RED,120
resistor (10255).jpg,RED-BROWN-ORANGE-RED-ORANGE,21000
resistor (10256).jpg,BLACK-RED-BROWN-ORANGE-BROWN,20
resistor (10257).jpg,BLACK-RED-BROWN-RED-BROWN,20
resistor (10258).jpg,RED-BROWN-ORANGE-RED-BLACK,21000
resistor (10259).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (1026).jpg,BLUE-ORANGE-BLACK-BROWN,63
resistor (10260).jpg,,BRAK
resistor (10261).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (10262).jpg,RED-BROWN-BROWN-RED,210
resistor (10263).jpg,GRAY-GRAY,BRAK
resistor (10264).jpg,GRAY-GRAY-GRAY-GRAY,8800000000
resistor (10265).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10266).jpg,RED-BROWN-BROWN-ORANGE-RED,210
resistor (10267).jpg,RED-BROWN-ORANGE-RED-ORANGE,21000
resistor (10268).jpg,RED-BROWN-BROWN-RED-BLACK,210
resistor (10269).jpg,,BRAK
resistor (1027).jpg,WHITE-BLUE-BLACK,96
resistor (10270).jpg,RED-BROWN-BROWN-RED-BROWN,210
resistor (10271).jpg,GRAY-GRAY-GRAY-GRAY,8800000000
resistor (10272).jpg,BLACK-ORANGE-RED-BROWN-ORANGE,300
resistor (10273).jpg,RED-BROWN-ORANGE-BROWN-ORANGE,21000
resistor (10274).jpg,RED-BROWN-ORANGE-BROWN-ORANGE,21000
resistor (10275).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10276).jpg,BLACK-RED-BROWN-BROWN-BLACK,20
resistor (10277).jpg,RED-BROWN-BROWN-ORANGE-RED,210
resistor (10278).jpg,GRAY-GRAY-GRAY,8800000000
resistor (10279).jpg,BROWN-ORANGE-RED-BROWN-ORANGE,1300
resistor (1028).jpg,BLUE-BLACK-ORANGE,60000
resistor (10280).jpg,RED-BROWN-ORANGE-RED-ORANGE,21000
resistor (10281).jpg,BLACK-RED-BROWN-ORANGE-RED,20
resistor (10282).jpg,GRAY-GRAY,BRAK
resistor (10283).jpg,GRAY,BRAK
resistor (10284).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10285).jpg,,BRAK
resistor (10286).jpg,RED-BROWN-BROWN-RED-BROWN,210
resistor (10287).jpg,RED-BROWN-ORANGE-RED-BROWN,21000
resistor (10288).jpg,ORANGE-BROWN-RED-BROWN-ORANGE,3100
resistor (10289).jpg,RED-BROWN-ORANGE-RED-ORANGE,21000
resistor (1029).jpg,BLACK-BLACK-BLACK-GRAY-ORANGE,BRAK
resistor (10290).jpg,RED-BROWN-BROWN-RED-BROWN,210
resistor (10291).jpg,GRAY-GRAY-GRAY,8800000000
resistor (10292).jpg,RED-BROWN-ORANGE-RED-ORANGE,21000
resistor (10293).jpg,BLACK-RED-BROWN-BROWN-RED,20
resistor (10294).jpg,BROWN-BROWN-RED-BROWN-ORANGE,1100
resistor (10295).jpg,RED-BROWN-ORANGE-RED-BROWN,21000
resistor (10296).jpg,BLACK-BLACK-BROWN,BRAK
resistor (10297).jpg,BROWN,BRAK
resistor (10298).jpg,BROWN-RED-BROWN-ORANGE-ORANGE,120
resistor (10299).jpg,BROWN-RED-ORANGE-BROWN-ORANGE,12000
resistor (103).jpg,RED,BRAK
resistor (1030).jpg,GRAY-BLUE-ORANGE-BLACK-BROWN,86000
resistor (10300).jpg,WHITE-WHITE-WHITE-WHITE-WHITE,99000000000
resistor (10301).jpg,,BRAK
resistor (10302).jpg,RED-BROWN-ORANGE-RED-BROWN,21000
resistor (10303).jpg,BROWN-RED-BROWN-ORANGE-RED,120
resistor (10304).jpg,,BRAK
resistor (10305).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10306).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10307).jpg,,BRAK
resistor (10308).jpg,RED-ORANGE-BROWN-RED,230
resistor (10309).jpg,RED-BROWN-ORANGE-RED-BROWN,21000
resistor (1031).jpg,GRAY-BLUE-BLACK-BROWN-WHITE,86
resistor (10310).jpg,BLACK-RED-ORANGE-BROWN-BROWN,2000
resistor (10311).jpg,BROWN-RED-BROWN-ORANGE-RED,120
resistor (10312).jpg,,BRAK
resistor (10313).jpg,,BRAK
resistor (10314).jpg,,BRAK
resistor (10315).jpg,BROWN-RED-BROWN-ORANGE-RED,120
resistor (10316).jpg,BLACK-BROWN-BROWN-RED-BROWN,10
resistor (10317).jpg,BLACK-BROWN-BROWN-RED-BROWN,10
resistor (10318).jpg,GRAY-GRAY-GRAY-GRAY,8800000000
resistor (10319).jpg,RED-ORANGE-BROWN-RED-BROWN,230
resistor (1032).jpg,WHITE-BLUE-BLACK-BROWN,96
resistor (10320).jpg,GRAY-GRAY,BRAK
resistor (10321).jpg,,BRAK
resistor (10322).jpg,BROWN-RED-BROWN-ORANGE-RED,120
resistor (10323).jpg,,BRAK
resistor (10324).jpg,RED-BROWN-BROWN-RED-BROWN,210
resistor (10325).jpg,BLACK-BROWN-RED-ORANGE-BROWN,100
resistor (10326).jpg,,BRAK
resistor (10327).jpg,BROWN-RED-BROWN-ORANGE-RED,120
resistor (10328).jpg,BROWN-RED-ORANGE-BROWN-RED,12000
resistor (10329).jpg,BLACK-RED-BROWN-ORANGE-RED,20
resistor (1033).jpg,BLUE-ORANGE,BRAK
resistor (10330).jpg,RED-ORANGE-BROWN-RED-BROWN,230
resistor (10331).jpg,RED-BROWN-ORANGE-RED,21000
resistor (10332).jpg,BROWN,BRAK
resistor (10333).jpg,BLACK-BROWN-RED-ORANGE-BROWN,100
resistor (10334).jpg,BLACK-BROWN-BROWN-ORANGE-BROWN,10
resistor (10335).jpg,BROWN-RED-BROWN-ORANGE-RED,120
resistor (10336).jpg,WHITE-WHITE,BRAK
resistor (10337).jpg,GRAY-BLACK-GRAY-BLACK-GRAY,8000000000
resistor (10338).jpg,RED-ORANGE-BROWN-ORANGE-RED,230
resistor (10339).jpg,BLACK-ORANGE-BROWN-RED-BROWN,30
resistor (1034).jpg,WHITE-WHITE-WHITE-BLUE-BLACK,99000000000
resistor (10340).jpg,RED-BROWN-ORANGE-RED,21000
resistor (10341).jpg,GRAY-GRAY,BRAK
resistor (10342).jpg,,BRAK
resistor (10343).jpg,ORANGE-RED-ORANGE-BROWN-RED,32000
resistor (10344).jpg,GRAY,BRAK
resistor (10345).jpg,RED-BROWN-ORANGE-RED,21000
resistor (10346).jpg,ORANGE-RED-ORANGE-BROWN-BROWN,32000
resistor (10347).jpg,BLACK-BROWN-BLACK,1
resistor (10348).jpg,RED-BROWN-BROWN-RED,210
resistor (10349).jpg,BLACK-ORANGE-RED-ORANGE-BROWN,300
resistor (1035).jpg,BLUE-ORANGE-BLACK,63
resistor (10350).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (10351).jpg,BROWN-ORANGE-RED-ORANGE-BROWN,1300
resistor (10352).jpg,GRAY-GRAY-GRAY,8800000000
resistor (10353).jpg,ORANGE-RED-ORANGE-BROWN-BROWN,32000
resistor (10354).jpg,BROWN-ORANGE-RED-BROWN-ORANGE,1300
resistor (10355).jpg,BROWN-RED-ORANGE-BROWN-BROWN,12000
resistor (10356).jpg,RED-BROWN-BROWN-RED-BLACK,210
resistor (10357).jpg,GRAY,BRAK
resistor (10358).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (10359).jpg,BLACK-BLACK-BLACK,BRAK
resistor (1036).jpg,WHITE-BLUE-ORANGE-BLACK-WHITE,96000
resistor (10360).jpg,ORANGE-BROWN-RED-BROWN-ORANGE,3100
resistor (10361).jpg,WHITE-WHITE-WHITE-WHITE-RED,99000000000
resistor (10362).jpg,ORANGE-RED-ORANGE-BROWN-ORANGE,32000
resistor (10363).jpg,BLACK-RED-ORANGE-BROWN-RED,2000
resistor (10364).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (10365).jpg,GRAY-GRAY,BRAK
resistor (10366).jpg,BLACK-ORANGE-RED-BROWN-ORANGE,300
resistor (10367).jpg,,BRAK
resistor (10368).jpg,RED-ORANGE-BROWN-BROWN-ORANGE,230
resistor (10369).jpg,ORANGE-RED-ORANGE-BROWN-ORANGE,32000
resistor (1037).jpg,BLUE,BRAK
resistor (10370).jpg,BLACK-BLACK,BRAK
resistor (10371).jpg,BLACK-GRAY-RED-RED-GRAY,800
resistor (10372).jpg,ORANGE-BROWN-RED-ORANGE-BROWN,3100
resistor (10373).jpg,ORANGE-BROWN-RED-ORANGE-BROWN,3100
resistor (10374).jpg,BLACK-RED-BROWN-BROWN-RED,20
resistor (10375).jpg,RED-BROWN-BROWN-RED-BROWN,210
resistor (10376).jpg,BROWN-ORANGE-RED-ORANGE-BROWN,1300
resistor (10377).jpg,BLACK-ORANGE-BROWN-RED-BROWN,30
resistor (10378).jpg,BLACK-RED-ORANGE-BROWN-ORANGE,2000
resistor (10379).jpg,RED-BROWN-BROWN-RED-BLACK,210
resistor (1038).jpg,GRAY-BLUE-BLACK,86
resistor (10380).jpg,WHITE-WHITE-WHITE-GRAY-GRAY,99000000000
resistor (10381).jpg,ORANGE-RED-ORANGE-BROWN-BROWN,32000
resistor (10382).jpg,BROWN-ORANGE-RED-ORANGE-BROWN,1300
resistor (10383).jpg,BLACK-GRAY-ORANGE-RED-RED,8000
